SR,AuthorID,Affiliation,Country,PersonID
"CRICK JM, 2021, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"MAHDI A, 2024, J RURAL STUD",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"MAHDI A, 2024, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"HAMZAH MI, 2023, INT J ENTREP SMALL B",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2020, J BUS RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2025, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"TK NGUYEN, 2021, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"SRAHA G, 2020, J BUS IND MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"SPENCE M, 2009, QUAL MARK RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"SPENCE M, 2006, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"SHARMA RR, 2018, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2016, STRATEG CHANG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2018, QUAL MARK RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2016, STRATEG CHANG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2016, QUAL MARK RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2016, MARK INTELL PLAN",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2016, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2014, EUR BUS REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2011, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2009, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2007, J INT ENTREP",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2006, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2004, J BUS VENTURING",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 2000, INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR RESEARCH",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK D, 1992, J MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2018, J RES MARK ENTREP",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, J INT MARKETING",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2025, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, INT SMALL BUS J",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, INT J ENTREP SMALL B",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2022, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2022, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, J BUS RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, EDUC TRAIN",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
