SR,openalex_work_id,AuthorID,AuthorOrder,CorrespondingAuthor,OpenAlexAuthorID,PersonID
"CRICK JM, 2021, INT J ENTREP BEHAV R",https://openalex.org/W3138224606,ORCID:0000-0003-1009-4197,3.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"MAHDI A, 2024, J RURAL STUD",https://openalex.org/W4394903965,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"MAHDI A, 2024, INT J ENTREP BEHAV R",https://openalex.org/W4394748726,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"HAMZAH MI, 2023, INT J ENTREP SMALL B",https://openalex.org/W4387645384,ORCID:0000-0003-1009-4197,3.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2020, J BUS RES",https://openalex.org/W2902300103,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2025, J STRATEG MARK",https://openalex.org/W4405728409,ORCID:0000-0003-1009-4197,3.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",https://openalex.org/W4405476473,ORCID:0000-0003-1009-4197,4.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"TK NGUYEN, 2021, J STRATEG MARK",https://openalex.org/W2947127250,ORCID:0000-0003-1009-4197,3.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"SRAHA G, 2020, J BUS IND MARK",https://openalex.org/W3002646206,ORCID:0000-0003-1009-4197,3.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"SPENCE M, 2009, QUAL MARK RES",https://openalex.org/W2063415326,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"SPENCE M, 2006, INT MARKET REV",https://openalex.org/W1963789943,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"SHARMA RR, 2018, INT MARKET REV",https://openalex.org/W2806647986,ORCID:0000-0003-1009-4197,3.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2016, STRATEG CHANG",https://openalex.org/W2406580111,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2018, QUAL MARK RES",https://openalex.org/W2778409515,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2016, STRATEG CHANG",https://openalex.org/W2483246749,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2016, QUAL MARK RES",https://openalex.org/W2256061397,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2016, MARK INTELL PLAN",https://openalex.org/W2337238677,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2016, J STRATEG MARK",https://openalex.org/W2037459293,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2014, EUR BUS REV",https://openalex.org/W1580844886,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2011, INT J ENTREP BEHAV R",https://openalex.org/W1920669184,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2009, INT MARKET REV",https://openalex.org/W2008790019,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2007, J INT ENTREP",https://openalex.org/W2037573071,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2006, J STRATEG MARK",https://openalex.org/W2075220485,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2004, J BUS VENTURING",https://openalex.org/W2001938723,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 2000, INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR RESEARCH",https://openalex.org/W2060275998,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK D, 1992, J MARKET MANAG",https://openalex.org/W2065396452,ORCID:0000-0003-1009-4197,1.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2018, J RES MARK ENTREP",https://openalex.org/W2779399262,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, J INT MARKETING",https://openalex.org/W3123621927,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2025, INT J ENTREP BEHAV R",https://openalex.org/W4316464784,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, J STRATEG MARK",https://openalex.org/W3180566170,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, INT SMALL BUS J",https://openalex.org/W4386223711,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, INT J ENTREP SMALL B",https://openalex.org/W4381614619,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2023, IND MARKET MANAG",https://openalex.org/W4378977607,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2022, INT J ENTREP BEHAV R",https://openalex.org/W4205790487,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2022, IND MARKET MANAG",https://openalex.org/W3214601639,ORCID:0000-0003-1009-4197,3.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, J BUS RES",https://openalex.org/W3182372903,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, INT MARKET REV",https://openalex.org/W2999952418,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, IND MARKET MANAG",https://openalex.org/W3162345405,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, EDUC TRAIN",https://openalex.org/W3165105165,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2020, J RURAL STUD",https://openalex.org/W2982005612,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CRICK JM, 2020, IND MARKET MANAG",https://openalex.org/W3032605239,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CHAUDHRY SHIV, 2023, INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH",https://openalex.org/W4386174266,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CHAUDHRY S, 2004, STRATEG CHANG",https://openalex.org/W2041713231,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"CHAUDHRY S, 1998, MARK INTELL PLAN",https://openalex.org/W2074948681,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
"BELL J, 2004, INT SMALL BUS J",https://openalex.org/W2067008332,ORCID:0000-0003-1009-4197,2.0,False,https://openalex.org/A5036193137,ORCID:0000-0003-1009-4197
