OriginalPersonID,GlobalPersonID,AuthorFullName,Orcid,OpenAlexAuthorIDs
ORCID:0000-0001-5004-6574,ORCID:0000-0001-5004-6574,"DAMBUSSE, BUCUANE LIBOMBO",https://orcid.org/0000-0001-5004-6574,https://openalex.org/A5053888871
ORCID:0000-0001-5005-4961,ORCID:0000-0001-5005-4961,"DUNCAN, J. WATTS",https://orcid.org/0000-0001-5005-4961,https://openalex.org/A5000679279
ORCID:0000-0001-5006-8677,ORCID:0000-0001-5006-8677,"SHIH‐CHIEH, FANG",https://orcid.org/0000-0001-5006-8677,https://openalex.org/A5011737675; https://openalex.org/A5108211054
OA:A5108211054,ORCID:0000-0001-5006-8677,"SHIH‐CHIEH, FANG",https://orcid.org/0000-0001-5006-8677,https://openalex.org/A5011737675; https://openalex.org/A5108211054
ORCID:0000-0001-5010-2978,ORCID:0000-0001-5010-2978,"MEI, HU",https://orcid.org/0000-0001-5010-2978,https://openalex.org/A5003577703
ORCID:0000-0001-5011-5269,ORCID:0000-0001-5011-5269,"MARNIK, G. DEKIMPE",https://orcid.org/0000-0001-5011-5269,https://openalex.org/A5016154011
ORCID:0000-0001-5015-5404,ORCID:0000-0001-5015-5404,"IRIS, ROELENS",https://orcid.org/0000-0001-5015-5404,https://openalex.org/A5073939888
ORCID:0000-0001-5022-5695,ORCID:0000-0001-5022-5695,"TUULA, LEHTIMAKI",https://orcid.org/0000-0001-5022-5695,https://openalex.org/A5026884521
ORCID:0000-0001-5025-3215,ORCID:0000-0001-5025-3215,TONY BLACKWOOD,https://orcid.org/0000-0001-5025-3215,
ORCID:0000-0001-5025-7937,ORCID:0000-0001-5025-7937,"STEPHEN, TEO",https://orcid.org/0000-0001-5025-7937,https://openalex.org/A5064521178
ORCID:0000-0001-5027-2117,ORCID:0000-0001-5027-2117,"QINGPU, ZHANG",https://orcid.org/0000-0001-5027-2117,https://openalex.org/A5101750317
ORCID:0000-0001-5029-7963,ORCID:0000-0001-5029-7963,"RUBY, P. LEE",https://orcid.org/0000-0001-5029-7963,https://openalex.org/A5045951714
ORCID:0000-0001-5030-9629,ORCID:0000-0001-5030-9629,TOMAS JECK,https://orcid.org/0000-0001-5030-9629,
ORCID:0000-0001-5031-054X,ORCID:0000-0001-5031-054X,"STEPHEN, BROWN",https://orcid.org/0000-0001-5031-054X,https://openalex.org/A5013854083
ORCID:0000-0001-5036-1435,ORCID:0000-0001-5036-1435,"HIND, LEBDAOUI",https://orcid.org/0000-0001-5036-1435,https://openalex.org/A5015434524
ORCID:0000-0001-5036-5858,ORCID:0000-0001-5036-5858,SHUBHAM KAPOOR,https://orcid.org/0000-0001-5036-5858,
ORCID:0000-0001-5039-1562,ORCID:0000-0001-5039-1562,"ADRIENNE, HALL‐PHILLIPS",https://orcid.org/0000-0001-5039-1562,https://openalex.org/A5089977218
ORCID:0000-0001-5040-3826,ORCID:0000-0001-5040-3826,"KM, MAKHITHA",https://orcid.org/0000-0001-5040-3826,https://openalex.org/A5039589074
ORCID:0000-0001-5042-220X,ORCID:0000-0001-5042-220X,"CHRISTINE, NGOC NGO",https://orcid.org/0000-0001-5042-220X,https://openalex.org/A5082431594
ORCID:0000-0001-5045-5677,ORCID:0000-0001-5045-5677,FERNANDO CASANI FERNANDEZ DE NAVARRETE,https://orcid.org/0000-0001-5045-5677,
ORCID:0000-0001-5047-0711,ORCID:0000-0001-5047-0711,"DAVID, T. WILSON",https://orcid.org/0000-0001-5047-0711,https://openalex.org/A5013326947
ORCID:0000-0001-5048-6457,ORCID:0000-0001-5048-6457,TADESSE WUDU ABATE,https://orcid.org/0000-0001-5048-6457,
ORCID:0000-0001-5048-7177,ORCID:0000-0001-5048-7177,"YAN, WANG",https://orcid.org/0000-0001-5048-7177,https://openalex.org/A5089403551
ORCID:0000-0001-5054-6181,ORCID:0000-0001-5054-6181,"JENG-HWAN, WANG",https://orcid.org/0000-0001-5054-6181,https://openalex.org/A5088997556
OA:A5088997556,ORCID:0000-0001-5054-6181,"JENG-HWAN, WANG",https://orcid.org/0000-0001-5054-6181,https://openalex.org/A5088997556
ORCID:0000-0001-5056-5091,ORCID:0000-0001-5056-5091,HASLINDA MUSA,https://orcid.org/0000-0001-5056-5091,
ORCID:0000-0001-5062-2041,ORCID:0000-0001-5062-2041,KUBO MACAK,https://orcid.org/0000-0001-5062-2041,
ORCID:0000-0001-5062-8371,ORCID:0000-0001-5062-8371,"JUSTIN, PAUL",https://orcid.org/0000-0001-5062-8371,https://openalex.org/A5078843987
ORCID:0000-0001-5063-013X,ORCID:0000-0001-5063-013X,"YUKSEL, EKINCI",https://orcid.org/0000-0001-5063-013X,https://openalex.org/A5029850426
ORCID:0000-0001-5063-6267,ORCID:0000-0001-5063-6267,"IFTIKHAR, HUSSAIN",https://orcid.org/0000-0001-5063-6267,https://openalex.org/A5022912749
ORCID:0000-0001-5066-4807,ORCID:0000-0001-5066-4807,"CHIU‐CHI, ANGELA CHANG",https://orcid.org/0000-0001-5066-4807,https://openalex.org/A5031460806
ORCID:0000-0001-5070-4952,ORCID:0000-0001-5070-4952,"DISMAN, DISMAN",https://orcid.org/0000-0001-5070-4952,https://openalex.org/A5049897572
