NameSignature,PID_A,PID_B,ORCID_A,ORCID_B,Articles_A,Articles_B,Jaccard_Articles,Jaccard_Coauthors,EmailDomain_A,EmailDomain_B
DAVID JOHNSTON,ORCID:0000-0001-5114-5355,ORCID:0000-0002-9575-2277,ORCID:0000-0001-5114-5355,ORCID:0000-0002-9575-2277,2,2,1.0,1.0,,
CHEN HAO,ORCID:0000-0001-5902-1824,ORCID:0009-0001-6480-7976,ORCID:0000-0001-5902-1824,ORCID:0009-0001-6480-7976,2,1,0.5,0.625,,
CHRISTENSEN CLAYTON M,ORCID:0000-0001-5949-2749,OA:A5112614941,ORCID:0000-0001-5949-2749,,3,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-6821-1136,ORCID:0000-0001-6069-5690,ORCID:0000-0001-6821-1136,1,3,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-7472-7104,ORCID:0000-0001-6069-5690,ORCID:0000-0001-7472-7104,1,2,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-8997-2292,ORCID:0000-0001-6069-5690,ORCID:0000-0001-8997-2292,1,19,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9025-4060,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9025-4060,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9484-7517,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9484-7517,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-0150-947X,ORCID:0000-0001-6069-5690,ORCID:0000-0002-0150-947X,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-2185-0341,ORCID:0000-0001-6069-5690,ORCID:0000-0002-2185-0341,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-3192-9491,ORCID:0000-0001-6069-5690,ORCID:0000-0002-3192-9491,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-5793-6091,ORCID:0000-0001-6069-5690,ORCID:0000-0002-5793-6091,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-7272-7554,ORCID:0000-0001-6069-5690,ORCID:0000-0002-7272-7554,1,1,1.0,1.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-8838-017X,ORCID:0000-0001-6069-5690,ORCID:0000-0002-8838-017X,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-9734-3354,ORCID:0000-0001-6069-5690,ORCID:0000-0002-9734-3354,1,2,0.0,0.0,,
