SR,SR_ref
"MILES M, 2015, J STRATEG MARK","AHMED PK, 1998, EUR J INNOV MANAG"
"MILES M, 2015, J STRATEG MARK","ALVAREZ SA, 2008, STRATEG ENTREP J"
"MILES M, 2015, J STRATEG MARK","ANONYMOUS, , MARKETING CHANGES"
"MILES M, 2015, J STRATEG MARK","ANONYMOUS, , AC MARK SPEC INT GRO"
"MILES M, 2015, J STRATEG MARK","ATUAHENE-GIMA K, 2005, J MARKETING"
"MILES M, 2015, J STRATEG MARK","ATUAHENEGIMA K, 1996, J BUS RES"
"MILES M, 2015, J STRATEG MARK","BARRETT G, 2003, VENTURING ABROAD: IMMIGRANT BUSINESS IN THE AGE OF GLOBALISATION"
"MILES M, 2015, J STRATEG MARK","BASSO O, 2009, INT J ENTREPRENEURSH"
"MILES M, 2015, J STRATEG MARK","BERTHON P, 1999, CALIF MANAGE REV"
"MILES M, 2015, J STRATEG MARK","BESSANT J, 2003, HIGH INVOLVEMENT INNOVATION:BUILDING AND SUSTAINING COMPETITIVE ADVANTAGE THROUGH CONTINUOUS CHANGE"
"MILES M, 2015, J STRATEG MARK","BIRLEY S, 1982, J GEN MANAGE"
"MILES M, 2015, J STRATEG MARK","BIRLEY S, 1985, J BUS VENTURING"
"MILES M, 2015, J STRATEG MARK","BJERKE B, 2013, ENTREPRENEURIAL MARK"
"MILES M, 2015, J STRATEG MARK","BUCKLER SA, 1997, RES TECHNOL MANAGE"
"MILES M, 2015, J STRATEG MARK","BURGELMAN RA, 1983, MANAGE SCI"
"MILES M, 2015, J STRATEG MARK","CARLAND JW, 1984, ACAD MANAGE REV"
"MILES M, 2015, J STRATEG MARK","CARSON D, 2000, JOURNAL OF MARKETING THEORY AND PRACTICE"
"MILES M, 2015, J STRATEG MARK","CARSON D, 1990, EUROPEAN JOURNAL OF MARKETING"
"MILES M, 2015, J STRATEG MARK","CARSON DJ, 1989, JOURNAL OF M ARKETING MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","CARSON DJ, 1993, JOURNAL OF MARKETING MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","CARSON D, 2010, J RES MARK ENTREP"
"MILES M, 2015, J STRATEG MARK","CARSON DJ, 1985, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","CHAGANTI R, 1987, STRATEGIC MANAGE J"
"MILES M, 2015, J STRATEG MARK","COLLINSON E, 2001, MANAGEMENT DECISION"
"MILES M, 2015, J STRATEG MARK","COLTMAN T, 2007, J STRATEGIC INF SYST"
"MILES M, 2015, J STRATEG MARK","CONWAY S, 2012, ENTERPRISE AND SMALL BUSINESS: PRINCIPLES"
"MILES M, 2015, J STRATEG MARK","COVIELLO NE, 1995, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","COVIELLO NE, 1998, JOURNAL OF STRATEGIC MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","COVIELLO NE, 1997, J MARKET MANAG"
"MILES M, 2015, J STRATEG MARK","COVIELLO NE, 2006, J INT BUS STUD"
"MILES M, 2015, J STRATEG MARK","COVIN JG, 1990, ENTREPRENEURSHIP: THEORY PRACTICE"
"MILES M, 2015, J STRATEG MARK","COVIN JG, 1999, ENTREPRENEURSHIP THEORY AND PRACTICE"
"MILES M, 2015, J STRATEG MARK","COVIN JG, 1991, ENTREP THEORY PRACT"
"MILES M, 2015, J STRATEG MARK","COVIN JG, 2007, ENTREP THEORY PRACT"
"MILES M, 2015, J STRATEG MARK","COVIN JG, 1988, J MANAGE STUD"
"MILES M, 2015, J STRATEG MARK","COVIN JG, 1994, J MANAGE STUD"
"MILES M, 2015, J STRATEG MARK","COVIN JG, 1989, STRATEGIC MANAGE J"
"MILES M, 2015, J STRATEG MARK","DARROCH J, 2011, J BUS RES"
"MILES M, 2015, J STRATEG MARK","DAVIS CD, 1985, INTERNATIONAL SMALL BUSINESS JOURNAL"
"MILES M, 2015, J STRATEG MARK","DAY GS, 1994, J MARKETING"
"MILES M, 2015, J STRATEG MARK","DEMING WE, 1981, NATL PROD REV"
"MILES M, 2015, J STRATEG MARK","DICKSON PR, 1986, J MARKETING"
"MILES M, 2015, J STRATEG MARK","DUUS HJ, 1997, SCANDINAVIAN JOURNAL OF MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","GAGLIO CM, 2001, SMALL BUS ECON"
"MILES M, 2015, J STRATEG MARK","GILMORE A, 2004, MARKETING INTELLIGEN"
"MILES M, 2015, J STRATEG MARK","GILMORE A, 1996, J SERV MARK"
"MILES M, 2015, J STRATEG MARK","GILMORE A J, 1999, NEW ENGLAND J ENTREP"
"MILES M, 2015, J STRATEG MARK","GILMORE A, 2013, ENTREPRENUERIAL MARKETING: GLOBAL PERSPECTIVES"
"MILES M, 2015, J STRATEG MARK","GILMORE A, 2011, J RES MARK ENTREP"
"MILES M, 2015, J STRATEG MARK","GILMORE A, 2007, INNOVATIVE METHODOLOGIES IN ENTERPRISE RESEARCH"
"MILES M, 2015, J STRATEG MARK","GRONROOS C, 1990, J BUS RES"
"MILES M, 2015, J STRATEG MARK","GUMMESSON E, 1994, INT J SERV IND MANAG"
"MILES M, 2015, J STRATEG MARK","GUMMESSON E, 1991, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","HACKMAN JR, 1995, ADMIN SCI QUART"
"MILES M, 2015, J STRATEG MARK","HÅKANSSON H, 2002, J BUS RES"
"MILES M, 2015, J STRATEG MARK","HAKANSSON H, 1980, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","HAKANSSON H, 2006, SCAND J MANAG"
"MILES M, 2015, J STRATEG MARK","HAMBRICK DC, 1984, ACAD MANAGE REV"
"MILES M, 2015, J STRATEG MARK","HAMEL G, 2000, LEADING REVOLUTION"
"MILES M, 2015, J STRATEG MARK","HANSEN DJ, 2011, J SMALL BUS MANAGE"
"MILES M, 2015, J STRATEG MARK","HARRIGAN P, 2012, J STRATEG MARK"
"MILES M, 2015, J STRATEG MARK","HARRIGAN P, 2011, INT J ELECTRON COMM"
"MILES M, 2015, J STRATEG MARK","HARRIGAN P, 2008, MARK INTELL PLAN"
"MILES M, 2015, J STRATEG MARK","HILLS G, 1997, OPPORTUNITY RECOGNIT"
"MILES M, 2015, J STRATEG MARK","HILLS GE, 1987, RES MARKETING ENTREP"
"MILES M, 2015, J STRATEG MARK","HILLS GE, 1992, ENTREPRENEURSHIP THEORY AND PRACTICE"
"MILES M, 2015, J STRATEG MARK","HILLS GE, 1981, J SMALL BUS MANAGE"
"MILES M, 2015, J STRATEG MARK","HILLS GE, 2008, J SMALL BUS MANAGE"
"MILES M, 2015, J STRATEG MARK","HULBERT B, 2012, INT BUSINESS REV"
"MILES M, 2015, J STRATEG MARK","HULTMAN C, 1999, JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP"
"MILES M, 2015, J STRATEG MARK","HULTMAN CM, 2003, J MARKET THEORY PRAC"
"MILES M, 2015, J STRATEG MARK","HULTMAN CM, 2002, EM GROWTH SMALL FIRM"
"MILES M, 2015, J STRATEG MARK","HUNT SD, 2010, MARKETING THEORY: FOUNDATIONS"
"MILES M, 2015, J STRATEG MARK","KAISH S, 1991, J BUS VENTURING"
"MILES M, 2015, J STRATEG MARK","KASOUF CJ, 2009, J RES MARK ENTREP"
"MILES M, 2015, J STRATEG MARK","KEEFE LISAM, 2004, MARKETING NEWS"
"MILES M, 2015, J STRATEG MARK","KESKIN H, 2006, EUR J INNOV MANAG"
"MILES M, 2015, J STRATEG MARK","KIRZNER ISRAEL, 1979, PERCEPTION OPPORTUNI"
"MILES M, 2015, J STRATEG MARK","KOTLER P, 2015, MARKETING MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","KURATKO D, 2004, ENTREPRENEURSHIP: THEORY"
"MILES M, 2015, J STRATEG MARK","KURATKO DF, 2009, BUS HORIZONS"
"MILES M, 2015, J STRATEG MARK","KWAK H, 2013, J MARKET THEORY PRAC"
"MILES M, 2015, J STRATEG MARK","LAMPRINOPOULOU C, 2009, AC MARK C LEEDS 6 9"
"MILES M, 2015, J STRATEG MARK","LUMPKIN GT, 1996, ACAD MANAGE REV"
"MILES M, 2015, J STRATEG MARK","MATSUNO K, 2002, J MARKETING"
"MILES M, 2015, J STRATEG MARK","MCCARTHY EJ, 1993, BASIC MARKETING: A GLOBAL-MANAGERIAL APPROACH"
"MILES M, 2015, J STRATEG MARK","MCDOUGALL P P, 1994, STRATEGIC MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","MCDOUGALL PP, 2000, ACAD MANAGE J"
