journal_id,source_title,journal
13.0,,"JOURNAL OF LOGISTICS, INFORMATICS AND SERVICE SCIENCE"
19900191906.0,ACAD MANAG ANN,Academy of Management Annals
5200152701.0,ACAD MANAG LEARN EDU,ACADEMY OF MANAGEMENT LEARNING AND EDUCATION
20191.0,ACAD MANAGE J,ACADEMY OF MANAGEMENT JOURNAL
4700152287.0,ACAD MANAGE PERSPECT,ACADEMY OF MANAGEMENT PERSPECTIVES
20206.0,ACAD MANAGE REV,ACADEMY OF MANAGEMENT REVIEW
5700168406.0,ACT LEARN HIGH EDUC,Active Learning in Higher Education
18217.0,ACTA OECON,ACTA OECONOMICA
29424.0,ACTA PSYCHOL (AMST),ACTA PSYCHOLOGICA
26613.0,ADM POLICY MENT HLTH,Administration and Policy in Mental Health and Mental Health Services Research
16036.0,ADMIN SCI QUART,Administrative Science Quarterly
16032.0,ADMIN SOC,Administration & Society
8300153115.0,ADV ENVIRON ACC MAN,ADVANCES IN ENVIRONMENTAL ACCOUNTING & MANAGEMENT
4100151530.0,ADV INT MARK,ADVANCES IN INTERNATIONAL MARKETING
4100151518.0,ADV ST ENTR,"ADVANCES IN THE STUDY OF ENTREPRENEURSHIP, INNOVATION, AND ECONOMIC GROWTH"
21100376830.0,AFR J ECON MANAG STU,African Journal of Economic and Management Studies
15081.0,AGR HUM VALUES,Agriculture and Human Values
15061.0,AGR SYST,Agricultural Systems
53958.0,AGREKON,Agrekon
18700156722.0,AGRIBUSINESS,Agribusiness
19700183122.0,AGRIC AGRIC SCI PROC,AGRICULTURE AND AGRICULTURAL SCIENCE PROCEDIA
71598.0,AGRIC RESOUR ECON REV,AGRICULTURAL AND RESOURCE ECONOMICS REVIEW
32845.0,AM ANTHROPOL,American Anthropologist
24733.0,AM BEHAV SCI,American Behavioral Scientist
22697.0,AM ECON REV,American Economic Review
29432.0,AM EDUC RES J,AMERICAN EDUCATIONAL RESEARCH JOURNAL
16925.0,AM J COMMUN PSYCHOL,American Journal of Community Psychology
17664.0,AM J PSYCHIAT,AMERICAN JOURNAL OF PSYCHIATRY
20029.0,AM J ROENTGENOL,American Journal of Roentgenology
16926.0,AM J SOCIOL,American Journal of Sociology
15557.0,AM POLIT SCI REV,American Political Science Review
29492.0,AM PSYCHOL,American Psychologist
16929.0,AM SOCIOL REV,American Sociological Review
6000152720.0,AMERICAN ART,American Art
21101041413.0,AMS REV,AMS Review
21100331602.0,ANN LEIS RES,Annals of Leisure Research
28785.0,ANN NY ACAD SCI,Annals of the New York Academy of Sciences
23090.0,ANN OPER RES,Annals of Operations Research
30718.0,ANN TOUR RES,ANNALS OF TOURISM RESEARCH
12010.0,ANNU REV PSYCHOL,Annual Review of Psychology
16976.0,ANNU REV SOCIOL,Annual Review of Sociology
12024.0,APPL COGNITIVE PSYCH,Applied Cognitive Psychology
18768.0,APPL ECON,APPLIED ECONOMICS
13929.0,APPL ERGON,Applied Ergonomics
27471.0,APPL GEOGR,APPLIED GEOGRAPHY
12029.0,APPL PSYCHOL-INT REV,Applied Psychology
18136.0,APPL SOFT COMPUT,APPLIED SOFT COMPUTING
24142.0,ARTIF LIFE,Artificial Life
21101162636.0,ARTS MARK,ARTS AND THE MARKET
18803.0,ASIA PAC BUS REV,Asia Pacific Business Review
4400151601.0,ASIA PAC EDUC REV,ASIA PACIFIC EDUCATION REVIEW
11400153332.0,ASIA PAC J HUM RESOU,ASIA PACIFIC JOURNAL OF HUMAN RESOURCES
21100395911.0,ASIA PAC J MARKET LO,Asia Pacific Journal of Marketing and Logistics
12117.0,ASIA PAC J TOUR RES,Asia Pacific Journal of Tourism Research
17600155227.0,ASIAN BUS MANAG,Asian Business & Management
21101080475.0,ASIAN J BUS ETHICS,Asian Journal of Business Ethics
10600153312.0,ASIAN NURS RES,Asian Nursing Research
5700152760.0,ASSESS EVAL HIGH EDU,Assessment & Evaluation in Higher Education
18700156708.0,AUST ACCOUNT REV,Australian Accounting Review
28408.0,AUST ECON HIST REV,Australian Economic History Review
18881.0,AUST ECON REV,Australian Economic Review
11700154369.0,AUST J MANAGE,Australian Journal of Management
21101158554.0,B2B MARKETING,Management for professionals
12100154706.0,BALT J MANAG,Baltic Journal of Management
12088.0,BASIC APPL SOC PSYCH,BASIC AND APPLIED SOCIAL PSYCHOLOGY
12128.0,BEHAV COGN PSYCHOTH,Behavioural and Cognitive Psychotherapy
12125.0,BEHAV INFORM TECHNOL,Behaviour and Information Technology
146223.0,BEHAV RES METHODS,Behavior Research Methods
15049.0,BIOMETRIKA,Biometrika
21100437107.0,BORSA ISTANB REV,Borsa Istanbul Review
27170.0,BR J NURS,British Journal of Nursing
20695.0,BRAIN BEHAV IMMUN,BRAIN BEHAVIOR AND IMMUNITY
144664.0,BRIT FOOD J,BRITISH FOOD JOURNAL
12100.0,BRIT J EDUC STUD,BRITISH JOURNAL OF EDUCATIONAL STUDIES
23988.0,BRIT J EDUC TECHNOL,British Journal of Educational Technology
17743.0,BRIT J IND RELAT,British Journal of Industrial Relations
20842.0,BRIT J MANAGE,British Journal of Management
130158.0,BRIT J POLIT INT REL,THE BRITISH JOURNAL OF POLITICS AND INTERNATIONAL RELATIONS
21100373814.0,BRQ-BUS RES Q,BRQ Business Research Quarterly
26874.0,BUILD ENVIRON,BUILDING AND ENVIRONMENT
21100826382.0,BULLETIN OF ELECTRICAL ENGINEERING AND INFORMATICS,Bulletin of Electrical Engineering and Informatics
22717.0,BUS ETHICS Q,BUSINESS ETHICS QUARTERLY
20209.0,BUS HORIZ,BUSINESS HORIZONS
20143.0,BUS SOC,Business & Society
23406.0,BUS STRATEG ENVIRON,Business Strategy and the Environment
100147316.0,BUSINESS STRATEGY REVIEW,Business Strategy Review
21341.0,CALIF MANAGE REV,California Management Review
21366.0,CAMB J ECON,Cambridge Journal of Economics
144986.0,CAREER DEV INT,CAREER DEVELOPMENT INTERNATIONAL
21100310071.0,CASE REP MED,Case Reports in Medicine
25524.0,CHANGES,Social Marketing Quarterly
24482.0,CHILD YOUTH SERV REV,CHILDREN AND YOUTH SERVICES REVIEW
18400156719.0,CHIN MANAG STUD,CHINESE MANAGEMENT STUDIES
22581.0,CIRCULATION,Circulation
21100198541.0,CLIM DEV,Climate and Development
1.0,CLIO AM,CLIO AMERICA
21100855822.0,COGENT BUS MANAG,COGENT BUSINESS AND MANAGEMENT
12872.0,COGNITIVE PSYCHOL,Cognitive Psychology
12689.0,COMM COM INF SC,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE
13675.0,COMMUN ACM,Communications of the ACM
11600153582.0,COMMUNITY DEV,Community Development
30441.0,COMPUT ELECTRON AGRIC,COMPUTERS AND ELECTRONICS IN AGRICULTURE
23269.0,COMPUT ENVIRON URBAN SYST,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS
19419.0,COMPUT HUMAN BEHAV,COMPUTERS IN HUMAN BEHAVIOR
24355.0,COMPUT OPER RES,Computers & Operations Research
8000153138.0,COMPUT SCI REV,COMPUTER SCIENCE REVIEW
28461.0,COMPUT STAT DATA ANAL,COMPUTATIONAL STATISTICS & DATA ANALYSIS
13896.0,CONSTR MANAG ECON,Construction Management and Economics
21100417364.0,CONT ISS ENTREP RES,Contemporary issues in entrepreneurship research
27626.0,CONTEMP NURSE,CONTEMPORARY NURSE
91803.0,CONTRIB ECON,CONTRIBUTIONS TO ECONOMICS
21100904665.0,CONTRIB MANAG SCI,Contributions to management science
11500153401.0,CORNELL HOSP Q,Cornell Hospitality Quarterly
17700156775.0,CORP REPUT REV,Corporate Reputation Review
21873.0,CORP SOC RESP ENV MA,Corporate Social Responsibility and Environmental Management
21100218364.0,CREAT INNOV MANAG,Creativity and Innovation Management
21100200613.0,CREATIVE INDUSTRIES JOURNAL,Creative Industries Journal
21955.0,CRIT REV FOOD SCI,Critical Reviews in Food Science and Nutrition
14215.0,CRIT STUD MEDIA COMM,Critical Studies in Media Communication
5700167676.0,CULT TRENDS,Cultural Trends
13477.0,CURR DIR PSYCHOL SCI,Current Directions in Psychological Science
28324.0,CURR ISSUES TOUR,Current Issues in Tourism
21100372442.0,CURR OPIN PSYCHOL,CURRENT OPINION IN PSYCHOLOGY
13479.0,CURR PSYCHOL,Current Psychology
21933.0,DECIS SUPPORT SYST,DECISION SUPPORT SYSTEMS
21926.0,DECISION SCI,Decision Sciences
26365.0,DEMOGRAPHY,Demography
14091.0,DEV CHANGE,Development and Change
14103.0,DEV POLICY REV,Development Policy Review
14119.0,DISASTERS,Disasters
21101138720.0,DISCOV SUSTAIN,DISCOVER SUSTAINABILITY
21100905837.0,E-NOVATION FOR COMPETITIVE ADVANTAGE IN COLLABORATIVE GLOBALIZATION: TECHNOLOGIES FOR EMERGING E-BUSINESS STRATEGIES,Advances in e-business research series
21101019713.0,EAI/SPRINGER INNOV COMMUN COMPUT,EAI/SPRINGER INNOVATIONS IN COMMUNICATION AND COMPUTING
27891.0,EARTHQ SPECTRA,EARTHQUAKE SPECTRA
28465.0,ECON DEV Q,Economic Development Quarterly
16082.0,ECON IND DEMOCRACY,Economic and Industrial Democracy
10600153365.0,ECON INNOV NEW TECH,Economics of Innovation and New Technology
20002.0,ECON INQ,Economic Inquiry
23011.0,ECON J,The Economic Journal
20023.0,ECON REC,Economic Record
19726.0,EDUC EVAL POLICY AN,EDUCATIONAL EVALUATION AND POLICY ANALYSIS
144955.0,EDUC INF TECHNOL (DORDR),EDUCATION AND INFORMATION TECHNOLOGIES
13563.0,EDUC PSYCHOL MEAS,Educational and Psychological Measurement
4700152248.0,EDUC RES REV-NETH,EDUCATIONAL RESEARCH REVIEW
15057.0,ELECTRON COMMER R A,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS
145669.0,ELECTRON COMMER RES,ELECTRONIC COMMERCE RESEARCH
19600157911.0,ELECTRON MARK,Electronic Markets
21100305282.0,EMERG ADULTHOOD,Emerging Adulthood
20642.0,EMPIR ECON,Empirical Economics
62932.0,ENERGIES,ENERGIES
10900153330.0,ENTERP INF SYST-UK,Enterprise Information Systems
20662.0,ENTREP REGION DEV,Entrepreneurship and Regional Development
21100464627.0,ENTREP RES J,Entrepreneurship Research Journal
21100857389.0,ENTREPR BUS ECON REV,Entrepreneurial Business and Economics Review
100147318.0,ENTREPRENEURSHIP,Entrepreneurship Theory and Practice
21101238109.0,ENTREPRENEURSHIP EDUCATION,Entrepreneurship Education
11600154613.0,ENV HAZ,Environmental Hazards
24519.0,ENV POLIT,ENVIRONMENTAL POLITICS
20902.0,ENVIRON DEV SUSTAIN,Environment Development and Sustainability
19700201681.0,ENVIRON INNOV SOC TR,Environmental Innovation and Societal Transitions
13274.0,ENVIRON PLAN D,ENVIRONMENT AND PLANNING D SOCIETY AND SPACE
5000160301.0,ENVIRON QUAL MANAGE,ENVIRONMENTAL QUALITY MANAGEMENT
23918.0,ENVIRON SCI POLLUT R,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH
26124.0,ETHNIC RACIAL STUD,Ethnic and Racial Studies
2.0,ETIKONOMI,ETIKONOMI
20764.0,ETR&D-EDUC TECH RES,Educational Technology Research and Development
24783.0,ETRI J,ETRI Journal
7100153129.0,EUR ACCOUNT REV,European Accounting Review
20749.0,EUR ECON REV,EUROPEAN ECONOMIC REVIEW
14175.0,EUR J DEV RES,European Journal of Development Research
100147342.0,EUR J EDUC,European Journal of Education
11300153314.0,EUR J ENG EDUC,European Journal of Engineering Education
21100778661.0,EUR J MANAG BUS ECON,European Journal of Management and Business Economics
22199.0,EUR J MARKETING,European Journal of Marketing
21100285725.0,EUR J RISK REGUL,European Journal of Risk Regulation
21100203911.0,EUR J TRAIN DEV,European journal of training and development
22491.0,EUR MANAG J,EUROPEAN MANAGEMENT JOURNAL
17700156774.0,EUR MANAG REV,European Management Review
13279.0,EUR PLAN STUD,European Planning Studies
5700160310.0,EUR POLIT SCI,European Political Science
35510.0,EUR REV AGRIC ECON,European Review of Agricultural Economics
14427.0,EUR SOCIOL REV,European Sociological Review
19700169885.0,EUR SPORT MANAG Q,European Sport Management Quarterly
21100827931.0,EURASIAN BUS REV,Eurasian Economic Review
21100262310.0,EUROMED J BUS,EuroMed Journal of Business
26602.0,EVAL PROGRAM PLANN,EVALUATION AND PROGRAM PLANNING
24201.0,EXPERT SYST APPL,EXPERT SYSTEMS WITH APPLICATIONS
4000148307.0,FAM BUS REV,Family Business Review
21101045042.0,FIIB BUS REV,FIIB Business Review
15519.0,FINANC RES LETT,Finance research letters
24039.0,FOOD CHEM,FOOD CHEMISTRY
22577.0,FOOD CONTROL,FOOD CONTROL
35048.0,FOOD POLICY,FOOD POLICY
19500157549.0,FOOD SECUR,Food Security
16106.0,FORESIGHT,foresight
21100437628.0,FOUND MANAGE,FOUNDATIONS OF MANAGEMENT
7400153103.0,FRONT BUS RES CHINA,Frontiers of Business Research in China
21100216571.0,FRONT PSYCHOL,FRONTIERS IN PSYCHOLOGY
21100798718.0,FRONT PUBLIC HEALTH,FRONTIERS IN PUBLIC HEALTH
25561.0,FUTURES,FUTURES
28694.0,GEOGR J,Geographical Journal
17600154910.0,GLOB BUS REV,Global Business Review
8300153135.0,GLOB J FLEX SYST MANAG,GLOBAL JOURNAL OF FLEXIBLE SYSTEMS MANAGEMENT
6000195381.0,GLOBAL BUSINESS AND ORGANIZATIONAL EXCELLENCE,Global Business and Organizational Excellence
36483.0,GLOBAL ENVIRON CHANG,Global Environmental Change
14735.0,GOV INFORM Q,GOVERNMENT INFORMATION QUARTERLY
21100361200.0,HANDBOOK OF CROSS-CULTURAL PSYCHOLOGY,Healthcare
22336.0,HARV BUS REV,HARVARD BUSINESS REVIEW
21317.0,HEALTH PROMOT PRACT,HEALTH PROMOTION PRACTICE
13380.0,HEALTH SERV MANAGE RES,Health Services Management Research
21100411756.0,HELIYON,HELIYON
18787.0,HIGH EDUC,Higher Education
18798.0,HIGH EDUC POLICY,Higher Education Policy
200147132.0,HIGHER ED EUROPE,Higher Education in Europe
15288.0,HIST THEORY,History and Theory
27069.0,HUM RELAT,Human Relations
4700152289.0,HUM RESOUR DEV Q,Human Resource Development Quarterly
7100153132.0,HUM RESOUR DEV REV,Human Resource Development Review
24719.0,HUM RESOUR MANAGE R,HUMAN RESOURCE MANAGEMENT REVIEW
21100901206.0,IAES INT J ARTIFICIA,IAES International Journal of Artificial Intelligence
21100374601.0,IEEE ACCESS,IEEE ACCESS
21100338350.0,IEEE INTERNET THINGS J,IEEE INTERNET OF THINGS JOURNAL
19600157019.0,IEEE REV BIOMED ENG,IEEE REVIEWS IN BIOMEDICAL ENGINEERING
17359.0,IEEE T ENG MANAGE,IEEE Transactions on Engineering Management
144912.0,IEEE T IND INFORM,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
17362.0,IEEE T KNOWL DATA EN,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING
17371.0,IEEE T PROF COMMUN,IEEE Transactions on Professional Communication
21100367773.0,IEEE-CAA J AUTOMATIC,IEEE/CAA Journal of Automatica Sinica
19400157163.0,IFIP ADV INF COMM TE,IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY
3.0,IIM KOZHIKODE SOC MA,IIM Kozhikode Society & Management Review
21101117188.0,IIM KOZHIKODE SOC MANAG REV,IIM KOZHIKODE SOCIETY & MANAGEMENT REVIEW
28945.0,IND CORP CHANGE,Industrial and Corporate Change
21100835738.0,IND HIGHER EDUC,Industry and Higher Education
23013.0,IND INNOV,Industry and Innovation
21100241711.0,IND J MARK,INDIAN JOURNAL OF MARKETING
19680.0,IND LABOR RELAT REV,Industrial and Labor Relations Review
22792.0,IND MARKET MANAG,Industrial Marketing Management
21100217612.0,IND ORGAN PSYCHOL-US,Industrial and Organizational Psychology
15972.0,IND TEXTILA,INDUSTRIA TEXTILA
19735.0,INDIAN J MICROBIOL,Indian Journal of Microbiology
21100421900.0,INF COMPUT SECUR,INFORMATION AND COMPUTER SECURITY
6400153106.0,INF DEV,INFORMATION DEVELOPMENT
145394.0,INF MANAGE,INFORMATION & MANAGEMENT
144936.0,INF SYST E-BUS MANAG,INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT
26099.0,INFORM FUSION,Information Fusion
15572.0,INFORM SYST FRONT,Information Systems Frontiers
12321.0,INFORM SYST J,Information Systems Journal
15442.0,INFORM SYST MANAGE,INFORMATION SYSTEMS MANAGEMENT
15574.0,INFORM SYST RES,Information Systems Research
14789.0,INFORM TECHNOL DEV,Information Technology for Development
144639.0,INFORM TECHNOL MANAG,Information Technology and Management
21100201065.0,INFORMATION,Information
21101234810.0,INFORMS J APPL ANAL,INFORMS JOURNAL ON APPLIED ANALYTICS
21100899296.0,INNOV MARKET,Innovative Marketing
27159.0,INNOVATION (ABINGDON),INNOVATION THE EUROPEAN JOURNAL OF SOCIAL SCIENCE RESEARCH
17700155007.0,INNOVATIONS IN DIGITAL ECONOMY: THIRD INTERNATIONAL SCIENTIFIC CONFERENCE,Communications in computer and information science
14699.0,INQUIRY,Inquiry
23665.0,INT BUS REV,International Business Review
4700152631.0,INT ENTREP MANAGE J,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL
19700188332.0,INT J ACAD DEV,The International Journal for Academic Development
21101045271.0,INT J ADV APPL SCI,International Journal of ADVANCED AND APPLIED SCIENCES
4.0,INT J ADV BIOTECHNOL,INTERNATIONAL JOURNAL OF ADVANCED BIOTECHNOLOGY AND RESEARCH
21100836589.0,INT J BUS ENVIRON,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT
4200151514.0,INT J BUS PERFORM MA,International Journal of Business Performance Management
5700167235.0,INT J CONSUM STUD,International Journal of Consumer Studies
5700163951.0,INT J CULT POLICY,International Journal of Cultural Policy
21100228018.0,INT J DISASTER RISK REDUCT,INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION
12100154806.0,INT J E-BUS RES,International Journal of E-Business Research
12072.0,INT J EDUC DEV,INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT
19691.0,INT J ELECTRON COMM,International Journal of Electronic Commerce
21100304262.0,INT J EMERG MARK,International Journal of Emerging Markets
14500154757.0,INT J EMERG MED,International Journal of Emergency Medicine
6400153116.0,INT J ENERGY SECT MANAGE,INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT
12100154510.0,INT J ENTERP INF SYST,INTERNATIONAL JOURNAL OF ENTERPRISE INFORMATION SYSTEMS
144744.0,INT J ENTREP BEHAV R,International Journal of Entrepreneurial Behaviour & Research
11.0,INT J ENTREP INNOV,The International Journal of Entrepreneurship and Innovation
21100198209.0,INT J ENTREP VENTUR,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING
21100286465.0,INT J ENTREPRENEURSHIP INNOV,THE INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION
4000148503.0,INT J ENVIRON SCI TE,International Journal of Environmental Science and Technology
14750.0,INT J EPIDEMIOL,International Journal of Epidemiology
20115.0,INT J FOOD SCI TECH,International Journal of Food Science & Technology
22706.0,INT J FORECAST,INTERNATIONAL JOURNAL OF FORECASTING
21100242611.0,INT J GEND ENTREP,International Journal of Gender and Entrepreneurship
14757.0,INT J HEALTH CARE QUAL ASSUR,INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE
28686.0,INT J HOSP MANAG,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT
24840.0,INT J HUM RESOUR MAN,The International Journal of Human Resource Management
5800179616.0,INT J IND SYST ENG,INTERNATIONAL JOURNAL OF INDUSTRIAL AND SYSTEMS ENGINEERING
21100398003.0,INT J INF LEARN TECH,International Journal of Information and Learning Technology
15631.0,INT J INF MANAGE,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT
19700186887.0,INT J INF SYST CHANGE MANGE,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND CHANGE MANAGEMENT
21100198470.0,INT J INF SYST SUPPL,International Journal of Information Systems and Supply Chain Management
11700154321.0,INT J INNOV MANAG,International Journal of Innovation Management
19700188275.0,INT J INOV SCI,International Journal of Innovation Science
21100431169.0,INT J ISLAMIC MIDDLE,International Journal of Islamic and Middle Eastern Finance and Management
12000154350.0,INT J KNOWL MANAG,International Journal of Knowledge Management
21100232428.0,INT J LAW MANAG,International Journal of Law and Management
4400151404.0,INT J LEARN INTELL C,International Journal of Learning and Intellectual Capital
19700201449.0,INT J LOGIST MANAG,The International Journal of Logistics Management
21100206607.0,INT J MANAG EDUC-OXF,The International Journal of Management Education
20037.0,INT J MANAG REV,International Journal of Management Reviews
20201.0,INT J MANPOW,INTERNATIONAL JOURNAL OF MANPOWER
22819.0,INT J MARKET RES,International Journal of Market Research
21100788210.0,INT J NONPROFIT VOLU,International Journal of Nonprofit and Voluntary Sector Marketing
29232.0,INT J OCCUP SAF ERGO,International Journal of Occupational Safety and Ergonomics
20039.0,INT J OPER PROD MAN,International Journal of Operations & Production Management
18000156701.0,INT J PHARM HEALTHC MARK,INTERNATIONAL JOURNAL OF PHARMACEUTICAL AND HEALTHCARE MARKETING
10300153306.0,INT J PRESS POLIT,THE INTERNATIONAL JOURNAL OF PRESS/POLITICS
19165.0,INT J PROD ECON,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS
27656.0,INT J PROD RES,International Journal of Production Research
14896.0,INT J PSYCHOL,International Journal of Psychology
21101055119.0,INT J PUBLIC LEADERS,International Journal of Public Leadership
14734.0,INT J QUAL HEALTH C,International Journal for Quality in Health Care
6400153175.0,INT J SERV OPER INF,INTERNATIONAL JOURNAL OF SERVICES OPERATIONS AND INFORMATICS
23717.0,INT J SOC ECON,INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS
19200157038.0,INT J SPORT MARK SPO,INTERNATIONAL JOURNAL OF SPORTS MARKETING AND SPONSORSHIP
23292.0,INT J SUST DEV WORLD,International Journal of Sustainable Development & World Ecology
19700181207.0,INT J SUSTAINABLE ENG,INTERNATIONAL JOURNAL OF SUSTAINABLE ENGINEERING
18700156730.0,INT J TECHNOENTREPRENEURSHIP,INTERNATIONAL JOURNAL OF TECHNOENTREPRENEURSHIP
21100220379.0,INT J TECHNOL ENHANC,INTERNATIONAL JOURNAL OF TECHNOLOGY ENHANCED LEARNING
12763.0,INT J TECHNOL MANAGE,International Journal of Technology Management
21100844181.0,INT J TOUR CITIES,International Journal of Tourism Cities
12300154722.0,INT J TOUR RES,International Journal of Tourism Research
13892.0,INT J URBAN REGIONAL,International Journal of Urban and Regional Research
21100299414.0,INT J WINE BUS RES,International Journal of Wine Business Research
4400151514.0,INT LIBR ETH LAW NEW,GLOBALIZATION AND HEALTH
22839.0,INT MARKET REV,International Marketing Review
