Source,Target,Weight,Type
NAME:A.FOSS|K,NAME:W.LITTLEJOHN|S,1,undirected
NAME:AASHEIM|KD,NAME:JENSSEN|JI,1,undirected
NAME:AB YAJID|MS,NAME:KHATIBI|A,1,undirected
NAME:AB YAJID|MS,NAME:MOHD SHUKRI|S,1,undirected
NAME:AB YAJID|MS,NAME:SAIFAN|S,1,undirected
NAME:AB YAJID|MS,NAME:SHIBLI|RA,1,undirected
NAME:ABAS|ZA,NAME:MOHAMAD|N,1,undirected
NAME:ABAS|ZA,ORCID:0000-0001-5056-5091,1,undirected
NAME:ABAS|ZA,ORCID:0000-0002-4608-7629,1,undirected
NAME:ABAZI BEXHETI|L,NAME:PANTHI|L,1,undirected
NAME:ABAZI BEXHETI|L,ORCID:0000-0001-5729-2751,1,undirected
NAME:ABAZI BEXHETI|L,ORCID:0000-0002-0806-1911,1,undirected
NAME:ABAZI BEXHETI|L,ORCID:0000-0002-6205-1431,1,undirected
NAME:ABAZI BEXHETI|L,ORCID:0000-0002-8495-9141,1,undirected
NAME:ABBASIAN|E,NAME:ANSARI|M,1,undirected
NAME:ABBASIAN|E,OA:A5007988854,1,undirected
NAME:ABBASI|MA,ORCID:0000-0002-3129-9688,1,undirected
NAME:ABBAS|M,NAME:AHMAD|J,1,undirected
NAME:ABBAS|M,ORCID:0000-0003-1928-4552,1,undirected
NAME:ABBAS|M,ORCID:0000-0003-2629-0424,1,undirected
NAME:ABDELHAMID|TA,NAME:DAKRORY|MI,1,undirected
NAME:ABDELHAMID|TA,NAME:SEDDICK|MGS,1,undirected
NAME:ABDELHAMID|TA,NAME:YOUSSEF|YMA,1,undirected
NAME:ABDELHAMID|TA,ORCID:0000-0002-0329-8514,1,undirected
NAME:ABDULLAH|Y,NAME:NABILA|,1,undirected
NAME:ABDULLAH|Y,NAME:SASONGKO|WD,1,undirected
NAME:ABDULLAH|Y,NAME:TARIGAN|NM,1,undirected
NAME:ABDULLAH|Y,NAME:YUSRITA|,1,undirected
NAME:ABDUL|NSJ,NAME:IZZA|AMN,1,undirected
NAME:ABDUL|NSJ,ORCID:0000-0002-3803-3364,1,undirected
NAME:ABEYRATHNE|G,NAME:EKANAYAKE|E,1,undirected
NAME:ABEYRATHNE|G,NAME:PRASANNA|R,1,undirected
NAME:ABEYRATHNE|G,NAME:RAJAPACKSHE|P,1,undirected
NAME:ABEYRATHNE|G,ORCID:0000-0002-5132-1272,1,undirected
NAME:ABEYRATHNE|G,ORCID:0000-0002-7186-3474,1,undirected
NAME:ABEYRATHNE|G,ORCID:0000-0003-4800-3086,1,undirected
NAME:ABIDEEN|AZ,ORCID:0000-0002-6143-4924,1,undirected
NAME:ABIDEEN|AZ,ORCID:0000-0003-0281-0982,1,undirected
NAME:ABIDIN|Z,NAME:SULAIMAN|NN,1,undirected
NAME:ABIDIN|Z,ORCID:0000-0002-0628-9429,1,undirected
NAME:ABIDIN|Z,ORCID:0000-0003-4723-6582,1,undirected
NAME:ABU FARHA|YS,NAME:AL HAWARY|SIS,1,undirected
NAME:ABU FARHA|YS,NAME:ALATHAMNEH|FF,1,undirected
NAME:ABU FARHA|YS,NAME:ALNEIMAT|S,1,undirected
NAME:ABU FARHA|YS,ORCID:0000-0001-6156-9063,1,undirected
NAME:ABU FARHA|YS,ORCID:0000-0001-9403-3476,1,undirected
NAME:ABU FARHA|YS,ORCID:0000-0002-6156-2010,1,undirected
NAME:ABU FARHA|YS,ORCID:0000-0002-6914-2213,1,undirected
NAME:ABU FARHA|YS,ORCID:0000-0003-1568-2860,1,undirected
NAME:ABU NASSER|BS,NAME:ALAJRAMI|E,1,undirected
NAME:ABU NASSER|BS,NAME:ALASHQAR|BAM,1,undirected
NAME:ABU NASSER|BS,ORCID:0000-0002-7677-8279,1,undirected
NAME:ABU NASSER|BS,ORCID:0000-0002-8656-5541,1,undirected
NAME:ADAMSON|I,NAME:HANDFORD|D,1,undirected
NAME:ADAMSON|I,ORCID:0000-0001-9034-5632,1,undirected
NAME:ADAMS|R,ORCID:0000-0001-6254-0385,1,undirected
NAME:ADEBOYE|NO,NAME:FAGOYINBO|I,1,undirected
NAME:ADEBOYE|NO,NAME:OLATAYO|TO,1,undirected
NAME:ADEWALE|AA,ORCID:0000-0002-3993-7381,1,undirected
NAME:ADEWALE|AA,ORCID:0000-0002-6680-3426,1,undirected
NAME:ADEWALE|AA,ORCID:0000-0002-8047-4219,1,undirected
NAME:ADOLPHS|C,NAME:WINKELMANN|A,1,undirected
NAME:AFIFAH|N,ORCID:0000-0001-8481-4949,1,undirected
NAME:AFIFAH|N,ORCID:0000-0002-5087-4799,1,undirected
"NAME:AFIFF, ADI ZAKARIA",ORCID:0000-0002-1583-7941,1,undirected
"NAME:AFIFF, ADI ZAKARIA",ORCID:0000-0003-4668-149X,1,undirected
NAME:AFIFF|AZ,ORCID:0000-0002-1583-7941,2,undirected
NAME:AFIFF|AZ,ORCID:0000-0003-4668-149X,2,undirected
NAME:AFTAB|U,ORCID:0000-0001-5620-9282,1,undirected
NAME:AFTAB|U,ORCID:0000-0001-8368-1275,1,undirected
NAME:AFTAB|U,ORCID:0000-0001-9130-5210,1,undirected
NAME:AFTAB|U,ORCID:0000-0002-6169-4435,1,undirected
NAME:AFTAB|U,ORCID:0000-0002-8623-5841,1,undirected
NAME:AHMADY|A,ORCID:0000-0003-0640-8341,1,undirected
NAME:AHMAD|J,ORCID:0000-0003-1928-4552,1,undirected
NAME:AHMAD|J,ORCID:0000-0003-2629-0424,1,undirected
NAME:AHMAD|MS,NAME:SHARIFF|SSM,1,undirected
