from,to,year,SR,openalex_work_id
NAME:BERNSTEIN|IH,NAME:NUNNALLY|JC11,,"1924-1982 N, 1994",
OA:A5001048299,ORCID:0000-0001-5836-4315,,"1931- K, 2015",
NAME:SPINELLI|SJ1,OA:A12,,"1941-2008 T, 2009",
NAME:YEUNG|B1,OA:A1,2008.0,"1945- C, 2008",
NAME:YEUNG|B1,ORCID:0000-0003-1671-5521,2008.0,"1945- C, 2008",
NAME:YEUNG|B1,ORCID:0000-0003-2907-6538,2008.0,"1945- C, 2008",
OA:A1,ORCID:0000-0003-1671-5521,2008.0,"1945- C, 2008",
OA:A1,ORCID:0000-0003-2907-6538,2008.0,"1945- C, 2008",
ORCID:0000-0003-1671-5521,ORCID:0000-0003-2907-6538,2008.0,"1945- C, 2008",
NAME:CRESWELL|JW1,NAME:PLANO CLARK|VL,,"1945- C, 2011",
NAME:FAGERBERG|J1,NAME:MOWERY|DC1,2006.0,"1951- F, 2006",
NAME:GROSSE|RE1,ORCID:0000-0002-3253-9364,2018.0,"1951- G, 2018",
NAME:TELFORD|N,ORCID:0000-0002-8735-0948,2020.0,"1967- F, 2020",
NAME:HAACK|P1,NAME:SIEWEKE|J,2019.0,"1978- H, 2019",
NAME:HAACK|P1,NAME:WESSEL|L,2019.0,"1978- H, 2019",
NAME:SIEWEKE|J,NAME:WESSEL|L,2019.0,"1978- H, 2019",
OA:A5006406909,OA:A5027795612,2019.0,"2019, 2019, V55",
OA:A5006406909,ORCID:0000-0002-9612-0108,2019.0,"2019, 2019, V55",
OA:A5027795612,ORCID:0000-0002-9612-0108,2019.0,"2019, 2019, V55",
OA:A5015098699,OA:A5063573273,2020.0,"2020, 2020, V8",
OA:A5015098699,OA:A5112762302,2020.0,"2020, 2020, V8",
OA:A5063573273,OA:A5112762302,2020.0,"2020, 2020, V8",
OA:A5103578130,ORCID:0000-0002-0784-2855,2023.0,"2023, 2023, V17",
OA:A5103578130,ORCID:0000-0002-2313-711X,2023.0,"2023, 2023, V17",
OA:A5103578130,ORCID:0000-0002-6213-6320,2023.0,"2023, 2023, V17",
ORCID:0000-0002-0784-2855,ORCID:0000-0002-2313-711X,2023.0,"2023, 2023, V17",
ORCID:0000-0002-0784-2855,ORCID:0000-0002-6213-6320,2023.0,"2023, 2023, V17",
ORCID:0000-0002-2313-711X,ORCID:0000-0002-6213-6320,2023.0,"2023, 2023, V17",
NAME:ALHOULI|A,NAME:MICHAEL HALL|C,2025.0,"A ALHOULI, 2025, RUTG BUSI REV",
NAME:ALHOULI|A,ORCID:0000-0003-2900-3232,2025.0,"A ALHOULI, 2025, RUTG BUSI REV",
NAME:MICHAEL HALL|C,ORCID:0000-0003-2900-3232,2025.0,"A ALHOULI, 2025, RUTG BUSI REV",
OA:A5095112590,OA:A5110987460,2024.0,"A ISTREFI-JAHJA, 2024, INT J TECHNOENTREPRENEURSHIP",
OA:A5095112590,OA:A5114885190,2024.0,"A ISTREFI-JAHJA, 2024, INT J TECHNOENTREPRENEURSHIP",
OA:A5095112590,ORCID:0000-0003-3701-816X,2024.0,"A ISTREFI-JAHJA, 2024, INT J TECHNOENTREPRENEURSHIP",
OA:A5110987460,OA:A5114885190,2024.0,"A ISTREFI-JAHJA, 2024, INT J TECHNOENTREPRENEURSHIP",
OA:A5110987460,ORCID:0000-0003-3701-816X,2024.0,"A ISTREFI-JAHJA, 2024, INT J TECHNOENTREPRENEURSHIP",
