Id,Label,PersonID,AuthorFullName,AuthorName,Orcid,OpenAlexAuthorID,AuthorID,ResearcherID,Email
NAME:A.FOSS|K,KAREN A.FOSS,NAME:A.FOSS|K,KAREN A.FOSS,A.FOSS K.,,,NAME:KAREN_AFOSS,,
NAME:AASHEIM|KD,KARI DAKOTA AASHEIM,NAME:AASHEIM|KD,KARI DAKOTA AASHEIM,AASHEIM K.D.,,,NAME:KARI_DAKOTA_AASHEIM,,
NAME:AB YAJID|MS,"AB YAJID, MOHD SHUKRI",NAME:AB YAJID|MS,"AB YAJID, MOHD SHUKRI","AB YAJID, M.S.A.",,,NAME:AB_YAJID_MOHD_SHUKRI,57159774100.0,
NAME:ABAS|ZA,ZURAIDA ABAL ABAS,NAME:ABAS|ZA,ZURAIDA ABAL ABAS,ABAS Z.A.,,,NAME:ZURAIDA_ABAL_ABAS,,
NAME:ABAZI BEXHETI|L,LEJLA ABAZI-BEXHETI,NAME:ABAZI BEXHETI|L,LEJLA ABAZI-BEXHETI,ABAZI-BEXHETI L.,,,NAME:LEJLA_ABAZI-BEXHETI,,
NAME:ABBASIAN|E,"ABBASIAN, EZATOLLAH",NAME:ABBASIAN|E,"ABBASIAN, EZATOLLAH","ABBASIAN, E.",,,NAME:ABBASIAN_EZATOLLAH,56916177500.0,
NAME:ABBASI|MA,MUNIR A. ABBASI,NAME:ABBASI|MA,MUNIR A. ABBASI,ABBASI M.A.,,,NAME:MUNIR_A_ABBASI,,
NAME:ABBAS|M,MAZHAR ABBAS,NAME:ABBAS|M,MAZHAR ABBAS,ABBAS M.,,,NAME:MAZHAR_ABBAS,,
NAME:ABDELHAMID|TA,TALAAT ASAAD ABDELHAMID,NAME:ABDELHAMID|TA,TALAAT ASAAD ABDELHAMID,ABDELHAMID T.A.,,,NAME:TALAAT_ASAAD_ABDELHAMID,,
NAME:ABDULLAH|Y,"ABDULLAH, YUSUF",NAME:ABDULLAH|Y,"ABDULLAH, YUSUF","ABDULLAH, Y.",,,NAME:ABDULLAH_YUSUF,57522341000.0,
NAME:ABDUL|NSJ,NASSIR SHAARI JAMAL ABDUL,NAME:ABDUL|NSJ,NASSIR SHAARI JAMAL ABDUL,ABDUL N.S.J.,,,NAME:NASSIR_SHAARI_JAMAL_ABDUL,,
NAME:ABEYRATHNE|G,GAKNJ ABEYRATHNE,NAME:ABEYRATHNE|G,GAKNJ ABEYRATHNE,ABEYRATHNE G.,,,NAME:GAKNJ_ABEYRATHNE,,
NAME:ABIDEEN|AZ,AHMED ZAINUL ABIDEEN,NAME:ABIDEEN|AZ,AHMED ZAINUL ABIDEEN,ABIDEEN A.Z.,,,NAME:AHMED_ZAINUL_ABIDEEN,,
NAME:ABIDIN|Z,ZAINAL ABIDIN,NAME:ABIDIN|Z,ZAINAL ABIDIN,ABIDIN Z.,,,NAME:ZAINAL_ABIDIN,,
NAME:ABU FARHA|YS,YASMEN SOFYAN ABU-FARHA,NAME:ABU FARHA|YS,YASMEN SOFYAN ABU-FARHA,ABU-FARHA Y.S.,,,NAME:YASMEN_SOFYAN_ABU-FARHA,,
NAME:ABU NASSER|BS,BASSEM S. ABU-NASSER,NAME:ABU NASSER|BS,BASSEM S. ABU-NASSER,ABU-NASSER B.S.,,,NAME:BASSEM_S_ABU-NASSER,,
NAME:ADAMSON|I,IVANA ADAMSON,NAME:ADAMSON|I,IVANA ADAMSON,ADAMSON I.,,,NAME:IVANA_ADAMSON,,
NAME:ADAMS|R,ROBERT ADAMS,NAME:ADAMS|R,ROBERT ADAMS,ADAMS R.,,,NAME:ROBERT_ADAMS,,
NAME:ADEBOYE|NO,NURENI OLAWALE ADEBOYE,NAME:ADEBOYE|NO,NURENI OLAWALE ADEBOYE,ADEBOYE N.O.,,,NAME:NURENI_OLAWALE_ADEBOYE,,
